frame,f1,f2,f3,f4,f5,f6
395,0.0,0.45,0.18,0.41,0.02,0.41
396,0.0,0.55,0.24,0.46,0.05,0.46
397,0.0,0.65,0.39,0.49,0.05,0.49
398,0.0,0.67,0.47,0.51,0.03,0.51
399,0.0,0.68,0.43,0.56,0.0,0.56
400,0.0,0.61,0.38,0.57,0.03,0.57
401,0.0,0.69,0.47,0.58,0.03,0.58
402,0.0,0.72,0.59,0.51,0.03,0.49
403,0.0,0.79,0.61,0.48,0.02,0.46
404,0.0,0.61,0.52,0.44,0.04,0.42
405,0.0,0.42,0.43,0.49,0.08,0.49
406,0.0,0.29,0.39,0.42,0.12,0.42
407,0.0,0.25,0.42,0.46,0.2,0.46
408,0.0,0.22,0.41,0.42,0.3,0.42
409,0.0,0.12,0.34,0.53,0.36,0.53
410,0.0,0.17,0.31,0.58,0.41,0.58
411,0.0,0.25,0.33,0.65,0.4,0.65
412,0.0,0.35,0.26,0.62,0.37,0.62
413,0.0,0.46,0.2,0.57,0.34,0.57
414,0.0,0.43,0.11,0.57,0.3,0.57
415,0.0,0.43,0.18,0.59,0.3,0.59
416,0.0,0.42,0.22,0.53,0.37,0.53
417,0.0,0.45,0.26,0.42,0.42,0.42
418,0.0,0.53,0.25,0.34,0.45,0.34
419,0.0,0.51,0.17,0.36,0.41,0.36
420,0.0,0.6,0.26,0.4,0.39,0.4
421,0.0,0.67,0.27,0.49,0.37,0.49
422,0.0,0.75,0.27,0.49,0.32,0.49
423,0.0,0.74,0.12,0.5,0.28,0.5
424,0.0,0.69,0.06,0.41,0.28,0.41
425,0.0,0.64,0.08,0.36,0.26,0.36
426,0.0,0.67,0.08,0.36,0.24,0.36
427,0.0,0.68,0.16,0.42,0.21,0.42
428,0.0,0.67,0.16,0.41,0.26,0.41
429,0.0,0.61,0.17,0.35,0.32,0.35
430,0.0,0.59,0.09,0.3,0.32,0.3
431,0.0,0.61,0.07,0.33,0.28,0.33
432,0.0,0.6,0.12,0.41,0.26,0.41
433,0.0,0.67,0.16,0.45,0.3,0.45
434,0.0,0.72,0.2,0.47,0.38,0.47
435,0.0,0.82,0.14,0.45,0.4,0.45
436,0.0,0.84,0.09,0.46,0.43,0.46
437,0.0,0.82,0.06,0.49,0.41,0.49
438,0.0,0.77,0.02,0.53,0.41,0.53
439,0.0,0.76,0.01,0.55,0.38,0.55
440,0.0,0.74,0.1,0.53,0.39,0.53
441,0.0,0.75,0.17,0.52,0.38,0.52
442,0.0,0.73,0.23,0.49,0.41,0.49
443,0.0,0.75,0.22,0.49,0.37,0.49
444,0.0,0.63,0.18,0.4,0.31,0.4
445,0.0,0.49,0.12,0.34,0.24,0.34
446,0.0,0.35,0.03,0.28,0.21,0.28
447,0.0,0.33,0.0,0.32,0.23,0.31
448,0.0,0.39,0.01,0.35,0.28,0.33
449,0.0,0.48,0.01,0.39,0.27,0.37
450,0.0,0.55,0.01,0.39,0.28,0.39
451,0.0,0.56,0.03,0.43,0.24,0.43
452,0.0,0.57,0.08,0.38,0.3,0.38
453,0.0,0.6,0.14,0.37,0.36,0.37
454,0.0,0.64,0.13,0.31,0.4,0.31
455,0.0,0.69,0.08,0.29,0.41,0.29
456,0.0,0.72,0.14,0.3,0.44,0.3
457,0.0,0.72,0.19,0.34,0.53,0.34
458,0.0,0.7,0.3,0.39,0.57,0.39
459,0.0,0.64,0.36,0.36,0.54,0.36
460,0.0,0.73,0.41,0.31,0.49,0.31
461,0.0,0.73,0.46,0.24,0.41,0.24
462,0.0,0.83,0.42,0.18,0.37,0.18
463,0.0,0.77,0.4,0.15,0.4,0.15
464,0.0,0.75,0.37,0.09,0.45,0.09
465,0.0,0.65,0.25,0.05,0.48,0.05
466,0.01,0.59,0.17,0.0,0.43,0.0
467,0.02,0.65,0.05,0.0,0.37,0.0
468,0.02,0.66,0.22,0.0,0.38,0.0
469,0.01,0.73,0.29,0.05,0.39,0.05
470,0.0,0.69,0.47,0.08,0.43,0.08
471,0.0,0.81,0.44,0.12,0.48,0.12
472,0.0,0.75,0.41,0.08,0.52,0.08
473,0.0,0.74,0.25,0.11,0.54,0.11
474,0.0,0.7,0.11,0.17,0.47,0.17
475,0.0,0.8,0.11,0.19,0.46,0.19
476,0.01,0.84,0.17,0.28,0.35,0.28
477,0.04,0.84,0.21,0.3,0.31,0.3
478,0.07,0.84,0.22,0.41,0.25,0.41
479,0.05,0.82,0.26,0.35,0.34,0.35
480,0.03,0.75,0.3,0.34,0.36,0.34
481,0.0,0.73,0.3,0.31,0.36,0.31
482,0.0,0.77,0.32,0.33,0.3,0.33
483,0.0,0.85,0.29,0.33,0.31,0.33
484,0.0,0.85,0.23,0.36,0.3,0.36
485,0.0,0.83,0.09,0.37,0.29,0.37
486,0.01,0.79,0.01,0.39,0.26,0.39
487,0.01,0.68,0.03,0.41,0.27,0.41
488,0.01,0.51,0.2,0.28,0.28,0.28
489,0.0,0.41,0.29,0.14,0.3,0.14
490,0.0,0.37,0.33,0.04,0.27,0.04
491,0.0,0.42,0.22,0.04,0.26,0.04
492,0.0,0.51,0.24,0.17,0.2,0.16
493,0.0,0.66,0.31,0.25,0.15,0.24
494,0.0,0.79,0.33,0.34,0.11,0.33
495,0.0,0.88,0.31,0.29,0.12,0.29
496,0.0,0.88,0.25,0.27,0.12,0.27
497,0.0,0.85,0.26,0.28,0.12,0.28
498,0.0,0.8,0.17,0.27,0.1,0.26
499,0.0,0.75,0.13,0.29,0.1,0.28
500,0.0,0.58,0.2,0.25,0.13,0.23
501,0.0,0.38,0.32,0.26,0.14,0.23
502,0.0,0.29,0.44,0.3,0.15,0.23
503,0.0,0.3,0.43,0.3,0.15,0.21
504,0.0,0.34,0.49,0.42,0.14,0.26
505,0.0,0.35,0.55,0.5,0.1,0.29
506,0.0,0.39,0.62,0.64,0.09,0.39
507,0.0,0.42,0.58,0.67,0.11,0.41
508,0.0,0.42,0.61,0.74,0.14,0.45
509,0.0,0.42,0.61,0.8,0.17,0.51
510,0.0,0.45,0.6,0.85,0.17,0.55
511,0.0,0.45,0.45,0.96,0.14,0.65
512,0.0,0.45,0.31,0.93,0.06,0.64
513,0.0,0.45,0.19,0.85,0.04,0.6
514,0.0,0.38,0.17,0.7,0.09,0.47
515,0.0,0.31,0.35,0.67,0.17,0.44
516,0.06,0.2,0.33,0.64,0.29,0.4
517,0.15,0.13,0.35,0.67,0.39,0.42
518,0.25,0.1,0.2,0.65,0.54,0.4
519,0.31,0.05,0.33,0.65,0.59,0.4
520,0.31,0.05,0.35,0.67,0.61,0.44
521,0.28,0.01,0.48,0.74,0.57,0.49
522,0.24,0.01,0.54,0.77,0.6,0.5
523,0.25,0.07,0.6,0.74,0.6,0.45
524,0.29,0.07,0.55,0.77,0.55,0.47
525,0.29,0.07,0.53,0.78,0.43,0.51
526,0.33,0.1,0.46,0.76,0.38,0.58
527,0.57,0.21,0.45,0.58,0.61,0.51
528,0.71,0.21,0.4,0.53,0.79,0.52
529,0.77,0.11,0.44,0.51,0.92,0.47
530,0.51,0.0,0.51,0.55,0.71,0.44
531,0.32,0.0,0.63,0.59,0.57,0.42
532,0.17,0.0,0.7,0.68,0.42,0.42
533,0.14,0.0,0.75,0.76,0.39,0.46
534,0.14,0.01,0.69,0.76,0.36,0.42
535,0.14,0.04,0.71,0.79,0.36,0.41
536,0.17,0.04,0.67,0.81,0.34,0.39
