frame,f1,f2,f3,f4,f5,f6
207,5.7,0.0,1.89,1.81,5.26,1.31
208,5.99,0.0,1.94,2.03,5.27,1.36
209,6.26,0.0,1.87,2.03,5.32,1.46
210,6.2,0.0,2.02,1.8,5.23,1.45
211,5.95,0.0,1.88,1.92,4.81,1.69
212,5.7,0.0,1.76,2.15,3.99,1.83
213,5.61,0.0,1.46,2.53,3.26,1.97
214,5.47,0.0,1.4,2.46,2.47,1.86
215,5.64,0.0,1.56,2.35,2.31,1.69
216,5.39,0.0,1.75,2.13,1.89,1.52
217,5.33,0.0,1.97,1.98,1.98,1.39
218,4.89,0.0,1.93,1.96,1.87,1.44
219,4.9,0.0,1.89,1.92,1.97,1.5
220,4.78,0.0,1.59,2.04,1.84,1.69
221,4.71,0.0,1.35,2.25,1.64,1.88
222,4.34,0.0,1.16,2.69,1.43,2.07
223,4.07,0.0,1.2,3.23,1.57,2.11
224,3.85,0.0,1.24,3.47,1.62,2.04
225,3.7,0.0,1.32,3.63,1.73,2.01
226,3.57,0.0,1.14,3.43,1.61,2.07
227,3.7,0.08,0.79,3.16,1.74,2.19
228,4.08,0.22,0.4,3.01,2.02,2.39
229,4.4,0.43,0.15,3.01,2.35,2.52
230,4.55,0.58,0.17,3.25,2.71,2.63
231,4.37,0.7,0.21,3.32,2.85,2.53
232,4.35,0.74,0.27,3.35,2.88,2.49
233,4.14,0.72,0.24,3.44,2.64,2.44
234,4.36,0.59,0.23,3.48,2.78,2.54
235,4.47,0.54,0.26,3.49,2.89,2.55
236,4.5,0.57,0.39,3.39,2.98,2.57
237,4.11,0.68,0.48,3.32,2.74,2.57
238,3.71,0.71,0.62,3.26,2.63,2.6
239,3.52,0.8,0.61,3.08,2.69,2.5
240,3.4,0.87,0.57,2.9,2.82,2.43
241,3.24,0.87,0.62,2.71,2.75,2.27
242,3.13,0.81,0.88,2.55,2.72,2.0
243,2.86,0.86,1.03,2.44,2.39,1.74
244,3.03,0.85,1.41,2.17,2.59,1.52
245,3.07,0.86,1.69,1.97,2.53,1.4
246,3.54,0.97,2.02,1.71,3.02,1.27
247,3.75,1.2,1.95,1.75,3.31,1.26
248,4.01,1.45,1.79,1.83,3.72,1.43
249,3.87,1.45,1.72,1.87,3.45,1.7
250,3.83,1.33,1.84,2.0,3.38,1.98
251,3.74,1.36,1.94,2.03,3.25,2.07
252,3.75,1.53,2.01,2.09,3.48,2.03
253,3.38,1.87,1.92,1.96,3.26,1.94
254,3.16,1.77,1.86,1.96,3.15,1.96
255,3.09,1.66,1.86,2.01,3.12,1.97
256,3.21,1.51,1.77,2.25,3.2,2.18
257,3.35,1.37,1.58,2.41,3.36,2.29
258,3.34,1.05,1.42,2.45,3.3,2.43
259,3.57,0.85,1.17,2.44,3.48,2.42
260,3.58,0.88,0.91,2.41,3.41,2.41
261,3.59,1.09,0.47,2.49,3.4,2.5
262,3.49,1.15,0.42,2.69,3.37,2.63
263,3.79,0.87,0.4,2.94,3.56,2.88
264,3.93,0.44,0.55,3.21,3.77,2.94
265,3.88,0.06,0.53,3.14,3.51,2.75
266,3.42,0.0,0.7,3.13,3.18,2.35
267,3.19,0.0,0.86,3.12,2.95,2.08
268,2.93,0.0,1.04,3.42,2.99,1.98
269,2.54,0.0,1.06,3.61,2.72,1.92
270,2.31,0.0,0.96,3.65,2.52,1.65
271,2.21,0.0,0.9,3.44,2.39,1.35
272,2.41,0.0,1.02,3.19,2.77,0.98
273,2.55,0.0,1.18,3.04,3.09,0.8
274,2.76,0.0,1.22,2.96,3.5,0.59
275,2.98,0.0,1.22,2.88,3.75,0.62
276,3.1,0.0,1.31,2.71,3.75,0.42
277,3.23,0.0,1.63,2.56,3.55,0.31
278,3.34,0.0,1.89,2.34,3.5,0.1
279,3.13,0.0,2.05,2.08,3.35,0.08
280,3.04,0.0,2.17,1.87,3.39,0.03
281,3.28,0.0,2.22,1.72,3.38,0.0
282,3.69,0.0,2.29,1.65,3.67,0.01
283,4.29,0.0,2.37,1.44,4.12,0.05
284,4.6,0.0,2.44,1.26,4.22,0.13
285,5.1,0.0,2.41,1.18,4.31,0.27
286,5.11,0.0,2.28,1.02,4.03,0.38
287,4.83,0.0,2.26,0.85,3.57,0.35
288,4.51,0.0,2.32,0.62,2.97,0.31
289,4.67,0.0,2.41,0.58,2.72,0.27
290,5.43,0.0,2.42,0.62,3.41,0.31
291,6.19,0.0,2.44,0.68,4.18,0.23
292,6.85,0.0,2.39,0.79,4.76,0.21
293,7.29,0.0,2.43,0.92,4.99,0.24
294,7.45,0.0,2.37,1.03,5.0,0.47
295,7.29,0.0,2.24,1.08,4.88,0.6
296,7.12,0.0,2.16,1.11,4.44,0.64
297,7.16,0.0,1.94,1.08,4.05,0.52
298,7.17,0.0,1.86,1.19,3.65,0.42
299,7.47,0.0,1.72,1.12,3.67,0.58
300,7.72,0.0,1.7,1.07,3.99,0.7
301,8.16,0.0,1.61,0.96,4.61,0.78
302,8.05,0.0,1.56,0.97,4.77,0.56
303,8.08,0.0,1.64,1.12,4.88,0.6
304,8.06,0.0,1.77,1.25,4.83,0.69
305,8.07,0.0,1.89,1.4,5.02,0.88
306,8.02,0.0,1.87,1.48,5.26,0.87
307,8.11,0.0,1.87,1.42,5.51,0.93
308,8.31,0.0,1.79,1.2,5.69,0.83
309,8.24,0.0,1.74,0.97,5.58,0.78
310,7.98,0.0,1.58,0.92,5.3,0.68
311,7.75,0.0,1.49,1.0,5.06,0.82
312,7.88,0.0,1.51,1.46,5.06,1.08
313,7.84,0.0,1.46,1.81,5.19,1.35
314,7.75,0.0,1.37,2.09,5.26,1.61
315,7.54,0.0,1.28,1.79,5.18,1.62
316,7.56,0.0,1.34,1.57,5.05,1.46
317,7.57,0.0,1.42,1.42,4.83,1.35
318,7.76,0.0,1.52,1.47,5.0,1.22
319,7.97,0.0,1.48,1.45,5.02,1.3
320,8.29,0.0,1.4,1.49,5.17,1.34
321,8.45,0.0,1.26,1.64,5.07,1.57
322,8.62,0.0,1.18,1.72,5.12,1.57
323,8.45,0.0,1.26,1.64,4.86,1.45
324,8.25,0.0,1.43,1.43,4.58,1.42
325,7.92,0.0,1.57,1.21,4.25,1.43
326,7.77,0.0,1.52,1.06,4.19,1.48
327,7.63,0.0,1.41,0.81,4.11,1.32
328,7.62,0.0,1.31,0.6,4.01,1.29
329,7.66,0.0,1.26,0.43,3.83,1.16
330,7.78,0.0,1.28,0.39,3.9,1.19
331,7.86,0.0,1.31,0.33,4.17,1.16
332,7.85,0.0,1.21,0.34,4.5,1.21
333,7.56,0.0,1.15,0.27,4.39,1.13
334,7.01,0.0,1.05,0.21,3.87,1.07
335,6.76,0.0,1.15,0.31,3.47,1.1
336,6.73,0.0,1.04,0.4,3.36,1.13
337,6.92,0.0,1.03,0.41,3.53,1.06
338,7.15,0.0,1.02,0.24,3.91,0.98
339,7.58,0.0,1.13,0.16,4.37,1.05
340,8.04,0.0,1.19,0.22,4.85,1.29
341,8.15,0.0,1.22,0.28,4.92,1.38
342,8.04,0.0,1.32,0.35,4.88,1.42
343,7.81,0.0,1.39,0.35,4.6,1.44
344,7.84,0.0,1.4,0.32,4.61,1.48
345,7.95,0.0,1.44,0.29,4.63,1.48
346,8.17,0.0,1.48,0.27,5.02,1.46
347,8.26,0.0,1.5,0.25,5.12,1.54
348,7.92,0.0,1.48,0.18,4.88,1.4
349,7.41,0.0,1.45,0.2,4.31,1.2
350,7.01,0.0,1.44,0.18,3.93,1.03
351,6.86,0.0,1.33,0.25,3.72,1.1
352,6.94,0.0,1.29,0.34,3.71,1.13
353,7.01,0.0,1.25,0.39,3.71,1.11
354,7.42,0.0,1.28,0.42,4.08,1.09
355,7.49,0.0,1.28,0.37,4.17,1.09
356,7.51,0.0,1.26,0.43,4.25,1.1
357,7.36,0.0,1.28,0.28,4.1,1.17
358,7.28,0.0,1.2,0.21,4.04,1.31
359,7.2,0.0,1.13,0.1,3.89,1.39
360,6.95,0.0,1.05,0.19,3.66,1.33
361,6.94,0.0,1.09,0.21,3.61,1.31
362,6.58,0.0,1.16,0.27,3.13,1.45
363,6.45,0.0,1.26,0.3,2.8,1.55
364,6.46,0.0,1.36,0.41,2.8,1.51
365,6.81,0.0,1.42,0.44,3.21,1.33
366,7.08,0.0,1.38,0.5,3.63,1.2
367,7.56,0.0,1.44,0.64,4.16,1.34
368,8.07,0.0,1.51,0.7,4.86,1.34
369,8.42,0.0,1.69,0.83,5.33,1.3
370,8.46,0.0,1.7,0.79,5.51,0.98
371,8.25,0.0,1.75,0.82,5.42,0.82
372,8.53,0.0,1.78,0.7,5.63,0.84
373,8.54,0.0,1.84,0.68,5.54,1.04
374,8.22,0.0,1.86,0.61,4.94,1.23
375,7.54,0.0,1.98,0.68,4.22,1.33
376,7.2,0.0,2.07,0.6,3.76,1.23
377,7.49,0.0,2.13,0.65,4.06,1.0
378,7.95,0.0,2.03,0.58,4.51,0.84
379,8.27,0.0,1.97,0.64,4.84,0.75
380,8.49,0.0,1.94,0.57,5.1,0.85
381,8.57,0.0,1.96,0.64,5.17,0.87
382,8.54,0.0,1.9,0.67,5.18,0.98
383,7.67,0.0,1.81,0.64,4.38,1.0
384,6.59,0.0,1.61,0.37,3.7,0.77
385,5.59,0.0,1.45,0.16,3.06,0.56
386,5.53,0.0,1.38,0.09,3.5,0.3
387,5.86,0.0,1.37,0.12,3.92,0.33
388,6.17,0.0,1.43,0.16,4.29,0.39
389,6.18,0.0,1.44,0.1,4.44,0.5
390,6.11,0.0,1.4,0.07,4.75,0.56
391,5.8,0.0,1.41,0.0,5.03,0.54
392,5.07,0.0,1.37,0.0,4.98,0.37
393,4.2,0.0,1.18,0.02,4.79,0.23
394,3.57,0.0,0.96,0.05,4.76,0.1
395,3.23,0.0,0.99,0.15,4.79,0.19
396,2.5,0.0,1.35,0.34,4.32,0.33
397,2.09,0.0,1.64,0.71,4.09,0.67
398,2.2,0.0,1.8,1.07,4.08,1.01
399,2.82,0.0,1.7,1.29,4.63,1.16
400,3.04,0.0,1.53,1.23,4.76,0.97
401,3.08,0.0,1.47,0.94,4.86,0.65
402,3.16,0.0,1.44,0.71,4.76,0.37
403,3.48,0.0,1.32,0.62,5.05,0.33
404,3.73,0.0,1.13,1.01,5.22,0.51
405,3.82,0.0,1.17,1.56,5.4,0.74
406,3.76,0.0,1.35,2.16,5.28,0.92
407,3.57,0.0,1.69,2.47,4.95,0.92
408,3.1,0.0,1.98,2.63,4.44,1.0
409,2.85,0.0,2.3,2.49,3.98,0.88
410,2.71,0.0,2.24,2.33,3.67,0.75
411,3.18,0.0,2.24,1.88,3.63,0.62
412,3.97,0.0,2.22,1.54,3.92,0.55
413,4.91,0.0,2.28,1.19,4.3,0.63
414,5.62,0.0,2.08,1.0,4.56,0.82
415,5.96,0.0,1.89,0.94,4.5,1.25
416,6.25,0.0,1.88,0.9,4.59,1.57
417,6.5,0.0,1.92,1.06,4.65,1.72
418,6.62,0.0,2.1,1.09,4.64,1.8
419,6.64,0.0,1.95,1.04,4.42,2.02
420,6.61,0.0,1.77,0.69,4.2,1.89
421,6.73,0.0,1.53,0.52,4.27,1.74
422,6.83,0.0,1.53,0.4,4.48,1.43
423,7.2,0.0,1.73,0.61,4.75,1.52
424,7.61,0.0,1.73,0.64,5.05,1.59
425,7.98,0.0,1.79,0.63,5.28,1.6
426,8.23,0.0,1.68,0.63,5.61,1.62
427,8.3,0.0,1.73,0.64,5.73,1.41
428,8.24,0.0,1.77,0.67,5.8,1.35
429,8.13,0.0,1.74,0.67,5.69,1.04
430,7.77,0.0,1.68,0.69,5.35,1.1
431,7.78,0.0,1.58,0.7,5.26,1.07
432,7.59,0.0,1.66,0.67,5.11,1.3
433,7.59,0.0,1.67,0.71,5.08,1.23
434,7.38,0.0,1.71,0.89,4.81,1.18
435,7.3,0.0,1.57,0.94,4.59,0.98
436,7.2,0.0,1.39,1.08,4.5,0.96
437,7.17,0.0,1.27,0.98,4.56,0.92
438,7.17,0.0,1.25,0.91,4.7,1.05
439,7.2,0.0,1.31,0.75,4.6,1.21
440,6.98,0.0,1.25,0.76,4.32,1.36
441,6.71,0.0,1.27,0.79,3.97,1.31
442,6.77,0.0,1.25,0.77,4.24,1.38
443,6.83,0.0,1.21,0.82,4.07,1.28
444,6.9,0.0,1.3,0.86,4.38,1.37
445,6.8,0.0,1.46,0.94,4.42,1.18
446,6.86,0.0,1.6,0.89,4.89,1.28
447,6.93,0.0,1.61,0.96,4.77,1.21
448,7.18,0.0,1.59,0.95,4.71,1.34
449,7.22,0.0,1.55,0.96,4.78,1.35
450,7.46,0.0,1.5,0.87,4.96,1.42
451,7.44,0.0,1.58,0.98,4.97,1.3
452,7.65,0.0,1.78,1.01,4.95,1.25
453,7.83,0.0,1.91,0.99,5.07,1.21
454,7.52,0.0,1.98,0.8,4.66,1.4
455,7.03,0.0,2.04,0.73,4.06,1.51
456,6.13,0.0,2.09,0.72,3.18,1.34
457,6.06,0.0,2.05,0.89,3.13,1.15
458,6.36,0.0,1.98,1.09,3.35,1.0
459,6.92,0.0,1.97,1.32,3.82,1.12
460,7.04,0.0,1.94,1.29,3.82,1.12
461,6.94,0.0,1.85,1.2,3.71,1.12
462,6.54,0.0,1.72,0.96,3.22,1.12
463,5.85,0.0,1.61,0.74,2.52,1.1
464,5.11,0.0,1.44,0.59,1.88,1.14
465,5.07,0.0,1.27,0.54,1.88,1.22
466,5.41,0.0,0.98,0.58,2.36,1.34
467,6.07,0.0,0.79,0.52,3.03,1.5
468,6.43,0.0,0.83,0.57,3.42,1.64
469,6.66,0.0,0.93,0.62,3.6,1.91
470,6.68,0.0,1.19,0.76,3.56,2.09
471,6.65,0.0,1.27,0.85,3.65,2.31
472,6.84,0.0,1.5,0.95,3.94,2.26
473,6.78,0.0,1.61,1.1,4.03,2.18
474,6.71,0.0,1.71,1.26,3.96,1.93
475,6.73,0.0,1.7,1.36,3.94,1.86
476,6.92,0.0,1.62,1.37,4.17,1.81
477,7.06,0.0,1.62,1.3,4.4,1.81
478,7.01,0.0,1.63,1.27,4.38,1.94
479,6.88,0.0,1.64,1.09,4.41,1.9
480,6.91,0.0,1.52,0.84,4.44,1.92
481,6.82,0.0,1.24,0.58,4.45,1.76
482,6.7,0.0,1.14,0.49,4.27,1.77
483,6.66,0.0,1.07,0.59,4.25,1.79
484,6.81,0.0,1.31,0.54,4.38,1.96
485,6.92,0.0,1.46,0.49,4.29,1.98
486,6.63,0.0,1.65,0.41,4.03,2.01
487,6.17,0.0,1.76,0.47,3.73,2.0
488,6.03,0.0,2.01,0.52,3.81,2.12
489,6.02,0.0,2.25,0.55,3.89,2.14
490,6.27,0.0,2.42,0.41,3.97,2.08
491,6.5,0.0,2.38,0.3,4.27,2.11
492,6.63,0.0,2.29,0.36,4.25,2.32
493,6.65,0.0,2.06,0.62,4.22,2.43
494,6.57,0.0,1.98,0.83,3.99,2.44
495,6.62,0.0,1.88,0.95,3.96,2.3
