SubjectIdIndex,NumWrong,NumTimeout,username,ServerTime,NumCorrect,TeamArrival,TeamCorrect,TeamDamage,TeamTotal,SI_Index,SI_DM_Index,SI_Role,SubjectId,reschuRun
655,2,2,Nav       ,2024-09-19 14:24:46.423,3,8,3,0,11,655,244,Nav                                               ,15,0
656,0,0,Pilot     ,2024-09-19 14:24:46.437,0,8,3,0,11,656,244,Pilot                                             ,16,0
661,2,1,Nav       ,2024-09-19 14:41:45.123,7,10,7,0,17,661,247,Nav                                               ,15,1
662,0,0,Pilot     ,2024-09-19 14:41:45.140,0,10,7,0,17,662,247,Pilot                                             ,16,1
664,3,2,Nav       ,2024-09-19 14:49:03.847,6,12,6,0,18,664,248,Nav                                               ,15,2
665,0,0,Pilot     ,2024-09-19 14:49:03.860,0,12,6,0,18,665,248,Pilot                                             ,16,2
667,0,3,Nav       ,2024-09-19 14:57:00.963,8,11,8,0,19,667,249,Nav                                               ,15,3
668,0,0,Pilot     ,2024-09-19 14:57:00.977,0,11,8,0,19,668,249,Pilot                                             ,16,3
670,1,5,Nav       ,2024-09-19 15:08:53.190,5,14,5,0,19,670,250,Nav                                               ,15,4
671,0,0,Pilot     ,2024-09-19 15:08:53.203,0,14,5,0,19,671,250,Pilot                                             ,16,4
673,3,0,Nav       ,2024-09-19 15:15:45.240,7,12,7,0,19,673,251,Nav                                               ,15,5
674,0,0,Pilot     ,2024-09-19 15:15:45.253,0,12,7,0,19,674,251,Pilot                                             ,16,5
676,1,2,Nav       ,2024-09-19 15:22:33.333,9,14,9,2,21,676,252,Nav                                               ,15,6
677,0,0,Pilot     ,2024-09-19 15:22:33.347,0,14,9,2,21,677,252,Pilot                                             ,16,6
679,1,3,Nav       ,2024-09-19 15:28:57.323,6,12,6,0,18,679,253,Nav                                               ,15,7
680,0,0,Pilot     ,2024-09-19 15:28:57.337,0,12,6,0,18,680,253,Pilot                                             ,16,7
685,1,1,Nav       ,2024-09-24 10:14:36.067,7,10,7,2,15,685,255,Nav                                               ,17,0
686,0,0,Pilot     ,2024-09-24 10:14:36.080,0,10,7,2,15,686,255,Pilot                                             ,18,0
690,1,1,Nav       ,2024-09-24 10:26:25.153,9,11,9,0,20,690,257,Nav                                               ,17,1
691,0,0,Pilot     ,2024-09-24 10:26:25.167,0,11,9,0,20,691,257,Pilot                                             ,18,1
693,2,0,Nav       ,2024-09-24 10:33:59.883,7,10,7,0,17,693,258,Nav                                               ,17,2
694,0,0,Pilot     ,2024-09-24 10:33:59.897,0,10,7,0,17,694,258,Pilot                                             ,18,2
696,0,0,Pilot     ,2024-09-24 10:40:13.067,0,12,10,2,20,696,259,Pilot                                             ,18,3
697,0,1,Nav       ,2024-09-24 10:40:13.080,10,12,10,2,20,697,259,Nav                                               ,17,3
699,0,0,Nav       ,2024-09-24 10:52:21.457,9,11,9,0,20,699,260,Nav                                               ,17,4
700,1,0,Pilot     ,2024-09-24 10:52:21.470,0,11,9,0,20,700,260,Pilot                                             ,18,4
702,0,0,Pilot     ,2024-09-24 10:58:30.627,0,12,10,2,20,702,261,Pilot                                             ,18,5
703,1,1,Nav       ,2024-09-24 10:58:30.640,10,12,10,2,20,703,261,Nav                                               ,17,5
