frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
29,  0,  0.467,  0.98,  1, 0.00, 0.00, 2.92, 0.00, 0.16, 0.52, 0.00, 0.00, 0.23, 0.00, 0.02, 0.13, 0.13, 0.09, 0.00, 0.32, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
30,  0,  0.483,  0.98,  1, 0.00, 0.00, 2.91, 0.00, 0.14, 0.42, 0.00, 0.00, 0.25, 0.05, 0.06, 0.16, 0.10, 0.08, 0.00, 0.28, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
31,  0,  0.500,  0.98,  1, 0.00, 0.00, 2.90, 0.00, 0.10, 0.30, 0.00, 0.00, 0.27, 0.08, 0.11, 0.21, 0.08, 0.07, 0.00, 0.25, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
32,  0,  0.517,  0.98,  1, 0.00, 0.00, 2.85, 0.00, 0.15, 0.41, 0.00, 0.00, 0.24, 0.17, 0.09, 0.27, 0.10, 0.07, 0.00, 0.33, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
33,  0,  0.533,  0.98,  1, 0.00, 0.00, 2.79, 0.00, 0.19, 0.49, 0.00, 0.00, 0.21, 0.20, 0.04, 0.31, 0.14, 0.07, 0.00, 0.40, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
34,  0,  0.550,  0.98,  1, 0.00, 0.00, 2.72, 0.00, 0.24, 0.60, 0.00, 0.00, 0.18, 0.25, 0.00, 0.32, 0.19, 0.07, 0.00, 0.51, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
35,  0,  0.567,  0.98,  1, 0.00, 0.00, 2.74, 0.00, 0.25, 0.72, 0.00, 0.00, 0.21, 0.22, 0.01, 0.28, 0.24, 0.05, 0.01, 0.50, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
36,  0,  0.583,  0.98,  1, 0.00, 0.00, 2.77, 0.00, 0.26, 0.75, 0.00, 0.00, 0.27, 0.13, 0.01, 0.25, 0.18, 0.04, 0.01, 0.51, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
37,  0,  0.600,  0.98,  1, 0.00, 0.00, 2.81, 0.00, 0.26, 0.78, 0.00, 0.00, 0.31, 0.05, 0.01, 0.20, 0.12, 0.06, 0.01, 0.47, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
38,  0,  0.617,  0.98,  1, 0.00, 0.00, 2.83, 0.00, 0.25, 0.77, 0.00, 0.00, 0.34, 0.00, 0.00, 0.20, 0.00, 0.10, 0.00, 0.44, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
