frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
26, 0, 0.833, 0.98, 1, 0.46, 0.61, 0.05, 0.06, -1.01, -0.91, 0.62, -0.74, -0.23, -0.36, -0.14, 0.53, 0.39, 0.63, 0.23, 0.53, 0.67, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
27, 0, 0.867, 0.98, 1, 0.50, 0.64, 0.18, 0.14, -0.94, -0.76, 0.53, -0.76, -0.22, -0.15, -0.12, 0.70, 0.30, 0.70, 0.30, 0.60, 0.72, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
28, 0, 0.900, 0.98, 1, 0.44, 0.34, 0.11, 0.31, -0.93, -0.74, 0.49, -0.74, -0.23, -0.15, -0.09, 0.68, 0.36, 0.65, 0.31, 0.52, 0.72, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
29, 0, 0.933, 0.98, 1, 0.33, 0.36, 0.08, 0.33, -0.94, -0.69, 0.54, -0.79, -0.21, -0.04, 0.06, 0.50, 0.39, 0.64, 0.31, 0.46, 0.52, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
30, 0, 0.967, 0.98, 1, 0.39, 0.50, 0.13, 0.30, -0.95, -0.61, 0.46, -0.72, -0.24, -0.11, 0.02, 0.53, 0.31, 0.63, 0.32, 0.59, 0.61, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
31, 0, 1.000, 0.98, 1, 0.40, 0.46, 0.11, 0.30, -0.96, -0.61, 0.47, -0.68, -0.22, -0.08, 0.18, 0.54, 0.42, 0.62, 0.32, 0.46, 0.56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
32, 0, 1.033, 0.98, 1, 0.32, 0.45, 0.10, 0.22, -0.90, -0.68, 0.43, -0.75, -0.25, -0.22, 0.27, 0.50, 0.37, 0.61, 0.40, 0.24, 0.62, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
33, 0, 1.067, 0.98, 1, 0.37, 0.26, 0.11, 0.63, -0.91, -0.58, 0.52, -0.82, -0.24, -0.11, 0.37, 0.55, 0.34, 0.64, 0.31, 0.20, 0.37, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
34, 0, 1.100, 0.98, 1, 0.19, 0.33, 0.19, 0.48, -0.85, -0.56, 0.42, -0.71, -0.03, -0.17, 0.30, 0.84, 0.77, 0.70, 0.51, 0.76, 0.53, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
35, 0, 1.133, 0.98, 1, 0.17, 0.36, 0.16, 0.61, -0.84, -0.90, 0.38, -0.76, 0.00, -0.22, 0.48, 0.93, 0.55, 0.74, 0.53, 0.54, 0.59, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
36, 0, 1.167, 0.98, 1, 0.17, 0.36, 0.13, 0.51, -0.84, -0.75, 0.45, -0.67, 0.03, -0.24, 0.47, 0.92, 0.58, 0.71, 0.37, 0.29, 0.63, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
37, 0, 1.200, 0.98, 1, 0.26, 0.12, 0.18, 0.23, -0.86, -0.65, 0.52, -0.81, 0.06, -0.34, 0.54, 1.07, 0.37, 0.60, 0.51, 0.38, 0.57, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
38, 0, 1.233, 0.98, 1, 0.20, 0.04, 0.17, 0.29, -0.90, -0.50, 0.47, -0.74, 0.11, -0.40, 0.44, 1.03, 0.18, 0.51, 0.64, 0.39, 0.45, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
