pair,phase,method,component_factor,radius,non_event_matches,condition,RR
101_102,reschu_run_3,factor,f1,0.001,excluded,real,0.0006
101_102,reschu_run_4,factor,f1,0.001,included,real,0.009
101_102,reschu_run_4,factor,f1,0.001,excluded,real,0.0008
101_102,reschu_run_5,factor,f1,0.001,included,real,0.0
101_102,reschu_run_5,factor,f1,0.001,excluded,real,0.0
101_102,reschu_run_6,factor,f1,0.001,included,real,0.002
101_102,reschu_run_6,factor,f1,0.001,excluded,real,0.0
103_104,instructional_video_0,factor,f1,0.001,included,real,0.0061
103_104,instructional_video_0,factor,f1,0.001,excluded,real,0.0056
103_104,discussion_phase_0,factor,f1,0.001,included,real,0.0016
103_104,discussion_phase_0,factor,f1,0.001,excluded,real,0.0016
103_104,discussion_phase_1,factor,f1,0.001,included,real,0.002
103_104,discussion_phase_1,factor,f1,0.001,excluded,real,0.0019
103_104,reschu_run_0,factor,f1,0.001,included,real,0.0076
103_104,reschu_run_0,factor,f1,0.001,excluded,real,0.0035
103_104,reschu_run_1,factor,f1,0.001,included,real,0.0145
103_104,reschu_run_1,factor,f1,0.001,excluded,real,0.0079
103_104,reschu_run_2,factor,f1,0.001,included,real,0.0103
103_104,reschu_run_2,factor,f1,0.001,excluded,real,0.0034
103_104,reschu_run_3,factor,f1,0.001,included,real,0.0453
103_104,reschu_run_3,factor,f1,0.001,excluded,real,0.0033
103_104,reschu_run_4,factor,f1,0.001,included,real,0.0071
103_104,reschu_run_4,factor,f1,0.001,excluded,real,0.0022
103_104,reschu_run_5,factor,f1,0.001,included,real,0.0045
103_104,reschu_run_5,factor,f1,0.001,excluded,real,0.0039
13_14,instructional_video_0,factor,f1,0.001,included,real,0.1229
13_14,instructional_video_0,factor,f1,0.001,excluded,real,0.0023
13_14,discussion_phase_0,factor,f1,0.001,included,real,0.0239
13_14,discussion_phase_0,factor,f1,0.001,excluded,real,0.0023
13_14,discussion_phase_1,factor,f1,0.001,included,real,0.0122
13_14,discussion_phase_1,factor,f1,0.001,excluded,real,0.002
13_14,reschu_run_0,factor,f1,0.001,included,real,0.0614
13_14,reschu_run_0,factor,f1,0.001,excluded,real,0.0031
13_14,reschu_run_1,factor,f1,0.001,included,real,0.0277
13_14,reschu_run_1,factor,f1,0.001,excluded,real,0.002
13_14,reschu_run_2,factor,f1,0.001,included,real,0.0221
13_14,reschu_run_2,factor,f1,0.001,excluded,real,0.0025
13_14,reschu_run_3,factor,f1,0.001,included,real,0.021
13_14,reschu_run_3,factor,f1,0.001,excluded,real,0.002
13_14,reschu_run_4,factor,f1,0.001,included,real,0.0324
13_14,reschu_run_4,factor,f1,0.001,excluded,real,0.0023
13_14,reschu_run_5,factor,f1,0.001,included,real,0.0218
13_14,reschu_run_5,factor,f1,0.001,excluded,real,0.0036
13_14,reschu_run_6,factor,f1,0.001,included,real,0.0113
13_14,reschu_run_6,factor,f1,0.001,excluded,real,0.0034
13_14,reschu_run_7,factor,f1,0.001,included,real,0.0206
13_14,reschu_run_7,factor,f1,0.001,excluded,real,0.0032
17_18,instructional_video_0,factor,f1,0.001,included,real,0.0191
17_18,instructional_video_0,factor,f1,0.001,excluded,real,0.0057
17_18,discussion_phase_0,factor,f1,0.001,included,real,0.0032
17_18,discussion_phase_0,factor,f1,0.001,excluded,real,0.0029
17_18,reschu_run_0,factor,f1,0.001,included,real,0.0122
17_18,reschu_run_0,factor,f1,0.001,excluded,real,0.0059
17_18,reschu_run_1,factor,f1,0.001,included,real,0.0692
17_18,reschu_run_1,factor,f1,0.001,excluded,real,0.0036
17_18,reschu_run_2,factor,f1,0.001,included,real,0.1278
17_18,reschu_run_2,factor,f1,0.001,excluded,real,0.0027
19_20,instructional_video_0,factor,f1,0.001,included,real,0.0371
19_20,instructional_video_0,factor,f1,0.001,excluded,real,0.0094
19_20,discussion_phase_1,factor,f1,0.001,included,real,0.0088
19_20,discussion_phase_1,factor,f1,0.001,excluded,real,0.0046
19_20,reschu_run_0,factor,f1,0.001,included,real,0.0277
19_20,reschu_run_0,factor,f1,0.001,excluded,real,0.0093
19_20,reschu_run_1,factor,f1,0.001,included,real,0.0154
19_20,reschu_run_1,factor,f1,0.001,excluded,real,0.0079
19_20,reschu_run_2,factor,f1,0.001,included,real,0.0219
19_20,reschu_run_2,factor,f1,0.001,excluded,real,0.0097
19_20,reschu_run_3,factor,f1,0.001,included,real,0.0301
19_20,reschu_run_3,factor,f1,0.001,excluded,real,0.0094
